Mabel Wesley
Alfred John Crockett 
William Henry Begg
James Henry Archer
Mary Maud Cudmore
Geoffrey Taylor
George Norris-Kern
William J. Hawkins
Charlotte Sarah Hill
James George Houlston
Herbert James Hall
Frank John Berkman
John Macgillvray
Charles Ernest Gaughan
Frederick Edward Mitchell
Alfred Dunstan
Gerald Pual Lonegran
Samuel Stow
James O'Gorman
Thomas McEnroe
Solomon Cohen Cohen
Mary Jane Bouchard
Maria Gaffney
W.T. Campbell
William Chifley
Samuel Peter Chisholm
Charles Henry Turnbull
Edmund Frederick Bawden
Edward Thomas Kable
"Broughton, Maryanne"
Charles Mack
John John Llewellyn
J. C. Cooper
James Alexander Stow
John Taylor
Thomas Dutton
David James Macarthur
Alfred John O'Brien-Hughes
Thomas Cocker
Edward Arthur Nankivell
Josheph Biddenham
Richard Green
"Dight, Alfred"
Sir Charles Hay
Edmund William Meehan
Elizabeth Laidley
Elizabeth Hill
Mary Anne Chisholm
Henry Cudmore
John Robert Dunston
Francis Wansley
William Macarthur
John Meehan
John Hixson
Joseph Green
Olaf Marsh
Robert Boulton
Henry Carter
Louis Cohen
Mary Brown
William Cocker
David Smith
Sylvia O'Brien
Edward Henry Jones
William Huxley
James henry Pockley
William Thomas Cottee
William Andrew Crozier
William Henry White
David Cohen
William O'Connor
Mary Cossetter
Mary Ann Clark
John Campbell
Sandra Brown
George MacRae
John White
Charles Macgregor
John Charles Gage
"Osprey, Christopher"
William Percy Taylor
George McTiernan
Richard O. Stryker
Frank McKeon
Arthur Goggin
Henry Dyer
William White
Joseph Dickey
William Hutton
Benjamin Bowerman
William Fergusson
Robert McEvoy
Robert Gwynne
John Aetherell Halliday
Charles Tully
John Anthony O'Toole
John Campbell
William Margetts
Charles R. MacGregor
John Thomas Coote
Joseph Coughlan
George Codditch
John Cunynghame
Mary Ann Loughnan
Mary Anderson
William Hall
George Stirling
Henry McCallum
William MacFarlane
William Whelan
Charles Augustus
Elma Bickford
T. W. Stewart
Charles Francis Campbell
John Lonergan
William Langley
Sarah Ann Auld
Josheph Aitken
Louis Lidstrach
George Wightman
William Govett
Mary Aitken
Thomas Alfred Hughes
Alfred Bremner
J.R. Strokes
Robert Gairdner
George Garside
Charles Micallef
James Loprest
Thomas Huxley
James Southeyy
Henry Pechey
Henrietta Thomas
Joseph Hinton
Arthur Nairn
Aaron Sidesteff
James O'Brien
David Bannatyne
Geoffrey Broughton
Alexander Henty
Emily Barning
David Wigley
John Smith
Charles Smith
Elizabeth McInnes
David Henry Cohen
John Thomas Meehan
Walter Muecke
Thomas Farrar
